地點,PM2.5,時間
基隆,7,2017-11-13 12:00:00
汐止,6,2017-11-13 12:00:00
萬里,10,2017-11-13 12:00:00
新店,10,2017-11-13 12:00:00
土城,8,2017-11-13 12:00:00
板橋,11,2017-11-13 12:00:00
新莊,5,2017-11-13 12:00:00
菜寮,8,2017-11-13 12:00:00
林口,16,2017-11-13 12:00:00
淡水,3,2017-11-13 12:00:00
士林,11,2017-11-13 12:00:00
中山,9,2017-11-13 12:00:00
萬華,,2017-11-13 12:00:00
古亭,4,2017-11-13 12:00:00
松山,11,2017-11-13 12:00:00
大同,ND,2017-11-13 12:00:00
桃園,14,2017-11-13 12:00:00
大園,3,2017-11-13 12:00:00
觀音,12,2017-11-13 12:00:00
平鎮,18,2017-11-13 12:00:00
龍潭,13,2017-11-13 12:00:00
湖口,12,2017-11-13 12:00:00
竹東,,2017-11-13 12:00:00
新竹,13,2017-11-13 12:00:00
頭份,,2017-11-13 12:00:00
苗栗,20,2017-11-13 12:00:00
三義,16,2017-11-13 12:00:00
豐原,9,2017-11-13 12:00:00
沙鹿,6,2017-11-13 12:00:00
大里,9,2017-11-13 12:00:00
忠明,11,2017-11-13 12:00:00
西屯,ND,2017-11-13 12:00:00
彰化,13,2017-11-13 12:00:00
線西,16,2017-11-13 12:00:00
二林,3,2017-11-13 12:00:00
南投,16,2017-11-13 12:00:00
斗六,,2017-11-13 12:00:00
崙背,9,2017-11-13 12:00:00
新港,11,2017-11-13 12:00:00
朴子,9,2017-11-13 12:00:00
臺西,17,2017-11-13 12:00:00
嘉義,22,2017-11-13 12:00:00
新營,18,2017-11-13 12:00:00
善化,,2017-11-13 12:00:00
安南,18,2017-11-13 12:00:00
臺南,32,2017-11-13 12:00:00
美濃,40,2017-11-13 12:00:00
橋頭,37,2017-11-13 12:00:00
仁武,51,2017-11-13 12:00:00
鳳山,,2017-11-13 12:00:00
大寮,47,2017-11-13 12:00:00
林園,,2017-11-13 12:00:00
楠梓,62,2017-11-13 12:00:00
左營,47,2017-11-13 12:00:00
前金,24,2017-11-13 12:00:00
前鎮,64,2017-11-13 12:00:00
小港,69,2017-11-13 12:00:00
屏東,66,2017-11-13 12:00:00
潮州,54,2017-11-13 12:00:00
恆春,9,2017-11-13 12:00:00
臺東,7,2017-11-13 12:00:00
花蓮,,2017-11-13 12:00:00
陽明,,2017-11-13 12:00:00
宜蘭,4,2017-11-13 12:00:00
冬山,6,2017-11-13 12:00:00
三重,9,2017-11-13 12:00:00
中壢,7,2017-11-13 12:00:00
竹山,23,2017-11-13 12:00:00
永和,10,2017-11-13 12:00:00
復興,56,2017-11-13 12:00:00
埔里,6,2017-11-13 12:00:00
馬祖,19,2017-11-13 12:00:00
金門,31,2017-11-13 12:00:00
馬公,10,2017-11-13 12:00:00
關山,5,2017-11-13 12:00:00
麥寮,20,2017-11-13 12:00:00
彰化(大城),13,2017-11-13 12:00:00
花蓮(和平),5,2017-11-13 12:00:00
